CID,BDATE,GEN
NASAW00015444,1967-08-09,Male
NASAW00015445,1968-06-11,Male
NASAW00015446,1972-05-19,Male
NASAW00015447,1966-11-08,Female
NASAW00015448,1967-04-24,Male
NASAW00015449,1940-08-14,Male
NASAW00015450,1941-12-08,Male
NASAW00015451,1967-11-16,Female
NASAW00015452,1964-02-16,Female
NASAW00015453,1969-08-07,Female
NASAW00015454,1961-03-02,Male
NASAW00015455,1945-10-07,Female
NASAW00015456,1946-04-13,Male
NASAW00015457,1946-08-28,Female
NASAW00015458,1953-06-23,Female
NASAW00015459,1947-10-11,Female
NASAW00015460,1953-02-09,Female
NASAW00015461,1947-11-10,Male
NASAW00015462,1949-02-23,Male
NASAW00015463,1949-05-18,Male
NASAW00015464,1985-10-02,Female
NASAW00015465,1986-03-03,Female
NASAW00015466,1975-07-08,Male
NASAW00015467,1976-01-30,Male
NASAW00015468,1976-05-09,Female
NASAW00015469,1981-10-24,Male
NASAW00015470,1981-02-17,Female
NASAW00015471,1974-09-05,Female
NASAW00015472,1980-10-14,Female
NASAW00015473,1974-10-13,Female
NASAW00015474,1974-10-30,Male
NASAW00015475,1980-10-14,Female
NASAW00015476,1975-05-01,Female
NASAW00015477,1975-02-08,Male
NASAW00015478,1977-02-15,Female
NASAW00015479,1977-02-17,Female
NASAW00015480,1977-01-19,Female
NASAW00015481,1982-08-21,Female
NASAW00015482,1976-08-07,Female
NASAW00015483,1976-11-04,Female
NASAW00015484,1976-12-17,Male
NASAW00015485,1975-05-19,Female
NASAW00015486,1975-03-23,Male
NASAW00015487,1975-03-09,Male
NASAW00015488,1974-09-24,Male
NASAW00015489,1974-01-23,Female
NASAW00015490,1973-08-02,Female
NASAW00015491,1979-04-20,Female
NASAW00015492,1985-04-14,Female
NASAW00015493,1979-09-16,Male
NASAW00015494,1974-05-14,Female
NASAW00015495,1972-11-14,Male
NASAW00015496,1973-03-07,Female
NASAW00015497,1972-09-01,Female
NASAW00015498,1975-08-08,Female
NASAW00015499,1976-06-22,Male
NASAW00015500,1975-07-25,Male
NASAW00015501,1975-12-19,Male
NASAW00015502,1978-10-15,Male
NASAW00015503,1978-08-22,Female
NASAW00015504,1972-09-29,Male
NASAW00015505,1972-08-06,Female
NASAW00015506,1982-09-20,Male
NASAW00015507,1972-03-27,Female
NASAW00015508,1972-02-05,Female
NASAW00015509,1971-08-23,Male
NASAW00015510,1977-10-20,Male
NASAW00015511,1974-08-11,Female
NASAW00015512,1975-01-29,Male
NASAW00015513,1975-04-19,Female
NASAW00015514,1974-11-16,Female
NASAW00015515,1974-10-08,Male
NASAW00015516,1980-10-14,Male
NASAW00015517,1980-01-19,Male
NASAW00015518,1975-03-12,Male
NASAW00015519,1927-05-10,Female
NASAW00015520,1970-12-17,Female
NASAW00015521,1976-05-21,Female
NASAW00015522,1976-09-03,Male
NASAW00015523,1969-08-07,Male
NASAW00015524,1975-09-12,Male
NASAW00015525,1975-02-08,Female
NASAW00015526,1969-12-17,Female
NASAW00015527,1969-10-06,Female
NASAW00015528,1979-10-01,Male
NASAW00015529,1969-01-01,Male
NASAW00015530,1968-09-30,Female
NASAW00015531,1968-12-11,Male
NASAW00015532,1968-08-03,Male
NASAW00015533,1979-09-06,Female
NASAW00015534,1969-03-21,Male
NASAW00015535,1969-04-30,Male
NASAW00015536,1974-08-09,Female
NASAW00015537,1968-07-22,Female
NASAW00015538,1969-02-24,Male
NASAW00015539,1967-07-23,Male
NASAW00015540,1973-04-04,Male
NASAW00015541,1967-10-05,Female
NASAW00015542,1973-04-18,Female
NASAW00015543,1967-09-23,Female
NASAW00015544,1968-06-12,Male
NASAW00015545,1972-02-07,Female
NASAW00015546,1966-11-18,Male
NASAW00015547,1967-04-05,Female
NASAW00015548,1966-03-12,Female
NASAW00015549,1972-12-03,Male
NASAW00015550,1978-05-17,Male
NASAW00015551,1973-01-02,Female
NASAW00015552,1972-12-28,Male
NASAW00015553,1972-12-08,Male
NASAW00015554,1973-03-01,Female
NASAW00015555,1966-04-22,Female
NASAW00015556,1976-11-08,Male
NASAW00015557,1966-02-11,Male
NASAW00015558,1965-09-29,Female
NASAW00015559,1970-05-22,Male
NASAW00015560,1964-09-17,Female
NASAW00015561,1970-01-24,Male
NASAW00015562,1976-04-15,Female
NASAW00015563,1970-07-10,Male
NASAW00015564,1970-02-21,Male
NASAW00015565,1964-08-06,Male
NASAW00015566,1970-09-21,Male
NASAW00015567,1964-12-21,Female
NASAW00015568,1963-07-11,Male
NASAW00015569,1974-08-22,Female
NASAW00015570,1975-02-05,Female
NASAW00015571,1975-03-06,Male
NASAW00015572,1963-09-16,Female
NASAW00015573,1969-08-21,Male
NASAW00015574,1969-01-17,Male
NASAW00015575,1985-01-06,Male
NASAW00015576,1976-03-18,Female
NASAW00015577,1975-08-25,Female
NASAW00015578,1981-08-16,Female
NASAW00015579,1973-07-04,Female
NASAW00015580,1979-02-20,Male
NASAW00015581,1973-10-25,Female
NASAW00015582,1974-01-18,Male
NASAW00015583,1974-03-28,Female
NASAW00015584,1972-10-14,Female
NASAW00015585,1978-03-05,Male
NASAW00015586,1975-02-24,Male
NASAW00015587,1980-10-10,Female
NASAW00015588,1980-07-03,Female
NASAW00015589,1974-10-13,Male
NASAW00015590,1974-09-24,Male
NASAW00015591,1975-03-22,Male
NASAW00015592,1983-10-01,Female
NASAW00015593,1973-03-18,Female
NASAW00015594,1978-03-05,Female
NASAW00015595,1971-08-05,Male
NASAW00015596,1971-07-02,Male
NASAW00015597,1971-08-06,Male
NASAW00015598,1971-04-20,Female
NASAW00015599,1970-11-18,Male
NASAW00015600,1974-05-02,Male
NASAW00015601,1979-08-09,Female
NASAW00015602,1979-01-14,Male
NASAW00015603,1975-09-02,Male
NASAW00015604,1970-06-13,Male
NASAW00015605,1970-02-21,Male
NASAW00015606,1970-06-10,Male
NASAW00015607,1975-09-19,Male
NASAW00015608,1984-05-10,Female
NASAW00015609,1985-08-11,Male
NASAW00015610,1986-04-11,Female
NASAW00015611,1984-02-08,Female
NASAW00015612,1983-10-05,Male
NASAW00015613,1984-03-14,Female
NASAW00015614,1980-05-13,Female
NASAW00015615,1984-08-12,Female
NASAW00015616,1984-05-14,Female
NASAW00015617,1984-08-02,Female
NASAW00015618,1978-08-26,Male
NASAW00015619,1978-09-23,Male
NASAW00015620,1978-11-16,Female
NASAW00015621,1979-03-26,Female
NASAW00015622,1978-04-14,Male
NASAW00015623,1978-04-10,Female
NASAW00015624,1983-08-08,Male
NASAW00015625,1978-04-16,Male
NASAW00015626,1983-07-20,Male
NASAW00015627,1978-06-23,Male
NASAW00015628,1922-04-10,Female
NASAW00015629,1977-03-31,Female
NASAW00015630,1976-10-30,Female
NASAW00015631,1977-05-11,Male
NASAW00015632,1976-07-08,Female
NASAW00015633,1977-02-08,Female
NASAW00015634,1982-05-23,Male
NASAW00015635,1977-02-20,Female
NASAW00015636,1975-11-22,Male
NASAW00015637,1977-01-19,Male
NASAW00015638,1947-01-23,Female
NASAW00015639,1985-08-30,Female
NASAW00015640,1985-10-14,Male
NASAW00015641,1983-11-01,Male
NASAW00015642,1983-02-21,Female
NASAW00015643,1983-03-20,Male
NASAW00015644,1985-02-16,Female
NASAW00015645,1984-09-08,Male
NASAW00015646,1984-05-02,Female
NASAW00015647,1984-05-19,Female
NASAW00015648,1984-03-03,Male
NASAW00015649,1954-04-07,Female
NASAW00015650,1972-01-31,Male
NASAW00015651,1972-07-09,Female
NASAW00015652,1966-11-22,Female
NASAW00015653,1977-12-01,Male
NASAW00015654,1965-09-09,Male
NASAW00015655,1971-10-30,Female
NASAW00015656,1965-12-13,Male
NASAW00015657,1965-12-18,Male
NASAW00015658,1965-02-12,Female
NASAW00015659,1964-08-13,Female
NASAW00015660,1965-03-01,Female
NASAW00015661,1965-02-16,Male
NASAW00015662,1965-11-21,Female
NASAW00015663,1965-01-05,Female
NASAW00015664,1970-04-22,Female
NASAW00015665,1965-01-02,Female
NASAW00015666,1981-10-18,Female
NASAW00015667,1976-03-16,Male
NASAW00015668,1981-02-23,Male
NASAW00015669,1981-04-20,Female
NASAW00015670,1975-01-31,Male
NASAW00015671,1974-11-24,Male
NASAW00015672,1974-07-19,Male
NASAW00015673,1980-06-04,Male
NASAW00015674,1975-01-05,Male
NASAW00015675,1975-04-15,Male
NASAW00015676,1974-10-05,Male
NASAW00015677,1975-02-08,Female
NASAW00015678,1980-06-04,Female
NASAW00015679,1958-03-10,Male
NASAW00015680,1956-09-05,Female
NASAW00015681,1960-02-07,Female
NASAW00015682,1949-11-18,Female
NASAW00015683,1949-12-20,Female
NASAW00015684,1955-07-07,Male
NASAW00015685,1949-12-07,Female
NASAW00015686,1949-12-31,Male
NASAW00015687,1950-12-16,Male
NASAW00015688,1950-11-04,Male
NASAW00015689,1950-07-06,Female
NASAW00015690,1951-12-10,Male
NASAW00015691,1959-12-15,Male
NASAW00015692,1959-10-12,Male
NASAW00015693,1960-01-16,Female
NASAW00015694,1959-01-18,Female
NASAW00015695,1959-12-16,Male
NASAW00015696,1958-12-03,Male
NASAW00015697,1959-01-03,Female
NASAW00015698,1958-08-31,Female
NASAW00015699,1959-03-11,Male
NASAW00015700,1958-05-19,Male
NASAW00015701,1958-03-27,Female
NASAW00015702,1958-02-15,Female
NASAW00015703,1962-05-02,Female
NASAW00015704,1956-09-10,Male
NASAW00015705,1955-09-19,Male
NASAW00015706,1955-05-25,Female
NASAW00015707,1960-09-11,Female
NASAW00015708,1960-07-17,Female
NASAW00015709,1959-08-31,Female
NASAW00015710,1953-07-22,Female
NASAW00015711,1953-12-30,Male
NASAW00015712,1954-06-04,Female
NASAW00015713,1953-12-07,Female
NASAW00015714,1953-03-16,Female
NASAW00015715,1980-12-17,Female
NASAW00015716,1980-12-17,Male
NASAW00015717,1981-11-23,Female
NASAW00015718,1981-10-13,Female
NASAW00015719,1982-01-10,Female
NASAW00015720,1980-01-23,Female
NASAW00015721,1985-08-11,Female
NASAW00015722,1980-05-25,Female
NASAW00015723,1985-03-14,Female
NASAW00015724,1979-10-30,Male
NASAW00015725,1979-01-15,Male
NASAW00015726,1978-08-27,Female
NASAW00015727,1977-10-31,Female
NASAW00015728,1979-01-31,Male
NASAW00015729,1983-09-21,Female
NASAW00015730,1977-08-18,Male
NASAW00015731,1976-09-16,Male
NASAW00015732,1983-05-25,Female
NASAW00015733,1977-09-22,Female
NASAW00015734,1976-01-08,Female
NASAW00015735,1975-10-30,Female
NASAW00015736,1946-12-11,Female
NASAW00015737,1946-10-02,Male
NASAW00015738,1947-01-20,Female
NASAW00015739,1948-06-14,Male
NASAW00015740,1947-10-09,Male
NASAW00015741,1948-04-09,Female
NASAW00015742,1948-05-06,Female
NASAW00015743,1953-02-14,Female
NASAW00015744,1947-09-19,Female
NASAW00015745,1948-02-12,Male
NASAW00015746,1949-05-31,Female
NASAW00015747,1949-08-24,Male
NASAW00015748,1949-12-07,Male
NASAW00015749,1950-04-24,Female
NASAW00015750,1984-10-16,Female
NASAW00015751,1966-02-21,Female
NASAW00015752,1961-03-31,Male
NASAW00015753,1962-06-21,Female
NASAW00015754,1961-12-21,Female
NASAW00015755,1967-01-22,Male
NASAW00015756,1974-01-01,Female
NASAW00015757,1963-01-07,Male
NASAW00015758,1969-05-22,Male
NASAW00015759,1979-05-07,Female
NASAW00015760,1979-11-01,Male
NASAW00015761,1980-04-16,Male
NASAW00015762,1979-11-05,Male
NASAW00015763,1980-01-22,Male
NASAW00015764,1964-12-12,Male
NASAW00015765,1965-04-16,Male
NASAW00015766,1965-02-12,Female
NASAW00015767,1970-05-20,Male
NASAW00015768,1972-05-25,Female
NASAW00015769,1971-11-06,Female
NASAW00015770,1983-04-06,Male
NASAW00015771,1963-07-23,Female
NASAW00015772,1968-03-09,Male
NASAW00015773,1963-04-02,Male
NASAW00015774,1968-02-24,Female
NASAW00015775,1979-12-13,Female
NASAW00015776,1979-09-06,Male
NASAW00015777,1968-01-18,Female
NASAW00015778,1962-11-07,Male
NASAW00015779,1973-08-14,Male
NASAW00015780,1968-05-10,Female
NASAW00015781,1962-09-30,Male
NASAW00015782,1968-11-19,Female
NASAW00015783,1973-01-07,Male
NASAW00015784,1973-03-03,Female
NASAW00015785,1967-10-24,Male
NASAW00015786,1968-05-02,Male
NASAW00015787,1966-11-18,Female
NASAW00015788,1971-09-15,Female
NASAW00015789,1972-02-12,Female
NASAW00015790,1965-12-13,Male
NASAW00015791,1966-03-20,Female
NASAW00015792,1976-08-05,Male
NASAW00015793,1976-04-08,Female
NASAW00015794,1981-12-15,Female
NASAW00015795,1970-07-16,Female
NASAW00015796,1970-11-08,Male
NASAW00015797,1970-09-25,Male
NASAW00015798,1970-03-19,Female
NASAW00015799,1964-07-11,Female
NASAW00015800,1970-12-07,Male
NASAW00015801,1969-05-12,Female
NASAW00015802,1979-10-18,Female
NASAW00015803,1968-04-16,Male
NASAW00015804,1968-02-17,Female
NASAW00015805,1967-08-30,Female
NASAW00015806,1973-01-02,Male
NASAW00015807,1972-10-29,Male
NASAW00015808,1966-07-19,Female
NASAW00015809,1966-03-15,Male
NASAW00015810,1971-09-03,Female
NASAW00015811,1971-05-02,Male
NASAW00015812,1964-10-07,Male
NASAW00015813,1982-01-30,Male
NASAW00015814,1981-10-14,Female
NASAW00015815,1980-07-24,Female
NASAW00015816,1981-11-17,Female
NASAW00015817,1982-01-05,Female
NASAW00015818,1982-01-16,Male
NASAW00015819,1986-03-15,Female
NASAW00015820,1986-04-01,Male
NASAW00015821,1986-06-25,Male
NASAW00015822,1944-04-17,Male
NASAW00015823,1944-03-23,Female
NASAW00015824,1982-11-30,Female
NASAW00015825,1981-12-02,Female
NASAW00015826,1984-07-08,Female
NASAW00015827,1984-11-03,Female
NASAW00015828,1945-05-20,Female
NASAW00015829,1944-11-13,Male
NASAW00015830,1945-08-13,Female
NASAW00015831,1945-08-13,Male
NASAW00015832,1946-10-02,Male
NASAW00015833,1948-09-20,Female
NASAW00015834,1981-09-22,Female
NASAW00015835,1981-10-25,Male
NASAW00015836,1981-10-13,Male
NASAW00015837,1981-04-19,Female
NASAW00015838,1985-02-13,Female
NASAW00015839,1979-11-18,Male
NASAW00015840,1977-08-25,Female
NASAW00015841,1983-05-11,Male
NASAW00015842,1983-01-09,Female
NASAW00015843,1974-05-02,Male
NASAW00015844,1974-06-24,Female
NASAW00015845,1974-06-17,Female
NASAW00015846,1979-09-06,Male
NASAW00015847,1979-05-10,Male
NASAW00015848,1979-08-24,Female
NASAW00015849,1972-08-29,Female
NASAW00015850,1978-10-04,Female
NASAW00015851,1972-12-18,Female
NASAW00015852,1978-08-22,Male
NASAW00015853,1972-08-21,Female
NASAW00015854,1973-02-24,Female
NASAW00015855,1968-10-14,Male
NASAW00015856,1973-08-02,Male
NASAW00015857,1964-12-03,Female
NASAW00015858,1964-12-12,Male
NASAW00015859,1964-09-01,Female
NASAW00015860,1978-04-19,Male
NASAW00015861,1977-11-23,Male
NASAW00015862,1978-06-06,Female
NASAW00015863,1979-01-31,Male
NASAW00015864,1984-10-16,Female
NASAW00015865,1976-10-11,Female
NASAW00015866,1981-12-30,Female
NASAW00015867,1976-08-07,Female
NASAW00015868,1976-12-10,Male
NASAW00015869,1977-06-20,Female
NASAW00015870,1976-11-29,Female
NASAW00015871,1977-06-22,Male
NASAW00015872,1983-09-29,Female
NASAW00015873,1983-10-16,Female
NASAW00015874,1949-12-10,Male
NASAW00015875,1949-08-16,Male
NASAW00015876,1950-04-17,Male
NASAW00015877,1956-10-07,Male
NASAW00015878,1950-10-21,Male
NASAW00015879,1950-11-18,Male
NASAW00015880,1951-05-13,Male
NASAW00015881,1951-02-17,Female
NASAW00015882,1951-05-01,Male
NASAW00015883,1951-05-13,Male
NASAW00015884,1951-01-04,Male
NASAW00015885,1951-11-15,Male
NASAW00015886,1951-10-16,Male
NASAW00015887,1952-02-09,Female
NASAW00015888,1951-11-02,Female
NASAW00015889,1952-05-17,Male
NASAW00015890,1952-08-26,Male
NASAW00015891,1952-12-08,Male
NASAW00015892,1964-07-05,Female
NASAW00015893,1954-05-15,Female
NASAW00015894,1970-05-06,Female
NASAW00015895,1970-05-06,Female
NASAW00015896,1953-12-15,Male
NASAW00015897,1953-09-14,Female
NASAW00015898,1954-10-29,Male
NASAW00015899,1954-12-29,Male
NASAW00015900,1961-03-24,Male
NASAW00015901,1955-08-27,Female
NASAW00015902,1955-10-23,Male
NASAW00015903,1956-01-06,Female
NASAW00015904,1955-07-25,Female
NASAW00015905,1956-10-15,Female
NASAW00015906,1956-09-02,Female
NASAW00015907,1956-10-15,Male
NASAW00015908,1973-09-12,Male
NASAW00015909,1957-03-06,Female
NASAW00015910,1956-12-05,Male
NASAW00015911,1963-04-23,Female
NASAW00015912,1957-09-04,Female
NASAW00015913,1957-12-14,Male
NASAW00015914,1963-08-19,Male
NASAW00015915,1958-01-08,Male
NASAW00015916,1958-01-11,Male
NASAW00015917,1958-03-20,Female
NASAW00015918,1957-08-02,Male
NASAW00015919,1963-11-04,Female
NASAW00015920,1963-02-11,Male
NASAW00015921,1968-11-22,Male
NASAW00015922,1968-10-12,Male
NASAW00015923,1967-10-04,Male
NASAW00015924,1961-12-18,Male
NASAW00015925,1961-12-25,Male
NASAW00015926,1961-08-11,Female
NASAW00015927,1962-06-03,Male
NASAW00015928,1961-11-05,Female
NASAW00015929,1962-02-07,Female
NASAW00015930,1960-09-29,Female
NASAW00015931,1960-07-07,Male
NASAW00015932,1961-03-10,Female
NASAW00015933,1966-01-30,Male
NASAW00015934,1961-09-25,Female
NASAW00015935,1944-10-24,Female
NASAW00015936,1939-01-12,Female
NASAW00015937,1970-11-09,Female
NASAW00015938,1976-07-05,Male
NASAW00015939,1970-08-11,Female
NASAW00015940,1971-05-27,Male
NASAW00015941,1970-08-26,Female
NASAW00015942,1975-08-06,Male
NASAW00015943,1969-07-17,Male
NASAW00015944,1969-11-09,Male
NASAW00015945,1975-06-21,Female
NASAW00015946,1970-01-17,Male
NASAW00015947,1970-04-11,Female
NASAW00015948,1970-05-20,Female
NASAW00015949,1975-09-07,Female
NASAW00015950,1961-07-14,Female
NASAW00015951,1962-04-12,Female
NASAW00015952,1961-12-18,Male
NASAW00015953,1939-10-09,Male
NASAW00015954,1980-02-20,Male
NASAW00015955,1974-11-13,Male
NASAW00015956,1974-05-13,Male
NASAW00015957,1969-05-14,Male
NASAW00015958,1967-10-04,Female
NASAW00015959,1967-08-30,Male
NASAW00015960,1968-04-06,Female
NASAW00015961,1978-10-17,Female
NASAW00015962,1972-01-08,Male
NASAW00015963,1978-01-30,Female
NASAW00015964,1972-09-29,Male
NASAW00015965,1966-12-16,Female
NASAW00015966,1961-02-11,Female
NASAW00015967,1960-12-13,Male
NASAW00015968,1966-04-17,Male
NASAW00015969,1977-05-24,Male
NASAW00015970,1965-09-02,Male
NASAW00015971,1941-02-22,Male
NASAW00015972,1941-03-31,Female
NASAW00015973,1942-05-23,Male
NASAW00015974,1965-12-10,Male
NASAW00015975,1971-09-21,Female
NASAW00015976,1965-11-21,Male
NASAW00015977,1965-09-12,Female
NASAW00015978,1966-05-18,Male
NASAW00015979,1965-12-12,Female
NASAW00015980,1965-11-19,Female
NASAW00015981,1965-09-11,Male
NASAW00015982,1965-11-19,Male
NASAW00015983,1966-03-15,Female
NASAW00015984,1965-12-20,Male
NASAW00015985,1965-12-16,Male
NASAW00015986,1960-03-10,Male
NASAW00015987,1971-03-21,Female
NASAW00015988,1959-11-09,Male
NASAW00015989,1965-11-15,Female
NASAW00015990,1964-05-21,Male
NASAW00015991,1958-07-19,Male
NASAW00015992,1958-10-20,Female
NASAW00015993,1958-11-19,Male
NASAW00015994,1958-05-01,Female
NASAW00015995,1957-11-23,Female
NASAW00015996,1963-02-23,Female
NASAW00015997,1948-09-07,Female
NASAW00015998,1942-11-06,Female
NASAW00015999,1943-01-20,Female
NASAW00016000,1943-03-27,Female
NASAW00016001,1943-04-24,Male
NASAW00016002,1942-08-10,Female
NASAW00016003,1943-04-26,Female
NASAW00016004,1944-05-18,Male
NASAW00016005,1944-04-05,Male
NASAW00016006,1944-01-11,Female
NASAW00016007,1945-03-30,Female
NASAW00016008,1945-01-12,Female
NASAW00016009,1945-03-14,Male
NASAW00016010,1945-08-13,Female
NASAW00016011,1946-03-06,Female
NASAW00016012,1974-01-29,Female
NASAW00016013,1974-01-18,Male
NASAW00016014,1979-03-05,Male
NASAW00016015,1984-08-02,Female
NASAW00016016,1950-02-09,Male
NASAW00016017,1984-11-08,Male
NASAW00016018,1984-10-29,Female
NASAW00016019,1984-08-01,Female
NASAW00016020,1984-02-23,Male
NASAW00016021,1984-04-24,Female
NASAW00016022,1984-01-17,Male
NASAW00016023,1953-01-13,Male
NASAW00016024,1984-02-14,Male
NASAW00016025,1950-09-04,Male
NASAW00016026,1952-01-07,Male
NASAW00016027,1957-08-11,Female
NASAW00016028,1951-07-28,Male
NASAW00016029,1952-05-07,Female
NASAW00016030,1952-11-17,Male
NASAW00016031,1953-04-08,Male
NASAW00016032,1959-01-11,Male
NASAW00016033,1977-04-13,Female
NASAW00016034,1968-06-09,Female
NASAW00016035,1978-12-12,Male
NASAW00016036,1967-06-02,Female
NASAW00016037,1966-11-05,Female
NASAW00016038,1978-01-02,Male
NASAW00016039,1966-11-03,Male
NASAW00016040,1979-04-02,Male
NASAW00016041,1966-11-05,Male
NASAW00016042,1942-01-18,Male
NASAW00016043,1980-03-05,Male
NASAW00016044,1964-03-08,Female
NASAW00016045,1969-06-30,Female
NASAW00016046,1969-08-16,Female
NASAW00016047,1968-07-05,Female
NASAW00016048,1979-05-04,Female
NASAW00016049,1968-05-08,Female
NASAW00016050,1962-09-08,Male
NASAW00016051,1973-03-14,Male
NASAW00016052,1962-05-06,Male
NASAW00016053,1967-06-15,Male
NASAW00016054,1961-12-17,Male
NASAW00016055,1961-06-17,Male
NASAW00016056,1966-09-17,Female
NASAW00016057,1966-12-10,Female
NASAW00016058,1965-05-31,Female
NASAW00016059,1944-04-09,Male
NASAW00016060,1976-04-25,Male
NASAW00016061,1981-07-02,Male
NASAW00016062,1981-06-05,Female
NASAW00016063,1981-07-12,Male
NASAW00016064,1974-08-29,Female
NASAW00016065,1975-01-18,Female
NASAW00016066,1980-07-19,Male
NASAW00016067,1980-04-16,Female
NASAW00016068,1974-08-31,Male
NASAW00016069,1975-03-04,Female
NASAW00016070,1975-06-21,Female
NASAW00016071,1976-07-09,Female
NASAW00016072,1982-10-08,Male
NASAW00016073,1977-06-10,Female
NASAW00016074,1977-05-11,Male
NASAW00016075,1977-01-22,Female
NASAW00016076,1982-06-12,Female
NASAW00016077,1982-05-28,Female
NASAW00016078,1977-03-05,Female
NASAW00016079,1977-03-06,Female
NASAW00016080,1974-01-29,Male
NASAW00016081,1973-09-18,Male
NASAW00016082,1979-05-19,Female
NASAW00016083,1972-12-30,Female
NASAW00016084,1973-05-16,Female
NASAW00016085,1975-07-10,Male
NASAW00016086,1975-11-08,Male
NASAW00016087,1975-12-11,Male
NASAW00016088,1973-01-06,Male
NASAW00016089,1973-01-30,Male
NASAW00016090,1972-12-31,Female
NASAW00016091,1983-10-19,Female
NASAW00016092,1971-07-02,Female
NASAW00016093,1971-08-30,Female
NASAW00016094,1977-11-08,Female
NASAW00016095,1971-08-11,Male
NASAW00016096,1974-07-25,Male
NASAW00016097,1975-05-05,Female
NASAW00016098,1975-03-06,Female
NASAW00016099,1980-08-05,Male
NASAW00016100,1980-03-30,Male
NASAW00016101,1975-03-19,Female
NASAW00016102,1971-02-11,Male
NASAW00016103,1982-04-06,Female
NASAW00016104,1971-05-04,Female
NASAW00016105,1970-08-04,Female
NASAW00016106,1970-09-18,Male
NASAW00016107,1980-10-14,Female
NASAW00016108,1975-06-21,Male
NASAW00016109,1970-01-02,Male
NASAW00016110,1969-12-29,Male
NASAW00016111,1980-02-02,Female
NASAW00016112,1968-09-01,Male
NASAW00016113,1979-08-09,Male
NASAW00016114,1968-09-10,Male
NASAW00016115,1973-12-11,Female
NASAW00016116,1973-12-04,Male
NASAW00016117,1968-05-01,Male
NASAW00016118,1968-03-02,Male
NASAW00016119,1967-03-12,Female
NASAW00016120,1977-10-08,Male
NASAW00016121,1966-11-01,Female
NASAW00016122,1967-06-15,Male
NASAW00016123,1967-01-05,Female
NASAW00016124,1967-05-03,Male
NASAW00016125,1966-09-03,Female
NASAW00016126,1967-01-14,Female
NASAW00016127,1983-03-10,Female
NASAW00016128,1977-12-18,Female
NASAW00016129,1966-04-10,Female
NASAW00016130,1971-12-21,Female
NASAW00016131,1965-11-11,Male
NASAW00016132,1971-11-30,Female
NASAW00016133,1978-08-09,Male
NASAW00016134,1972-12-03,Male
NASAW00016135,1972-12-28,Female
NASAW00016136,1972-12-01,Male
NASAW00016137,1972-09-11,Male
NASAW00016138,1972-08-08,Male
NASAW00016139,1971-08-22,Female
NASAW00016140,1971-04-01,Male
NASAW00016141,1966-05-01,Female
NASAW00016142,1964-07-10,Female
NASAW00016143,1964-09-15,Female
NASAW00016144,1970-11-30,Male
NASAW00016145,1965-04-23,Female
NASAW00016146,1964-08-20,Female
NASAW00016147,1964-05-23,Male
NASAW00016148,1963-09-23,Female
NASAW00016149,1963-08-29,Male
NASAW00016150,1974-08-09,Female
NASAW00016151,1968-12-30,Female
NASAW00016152,1969-11-12,Female
NASAW00016153,1963-10-09,Male
NASAW00016154,1964-06-04,Female
NASAW00016155,1974-10-08,Female
NASAW00016156,1975-03-11,Male
NASAW00016157,1985-10-21,Female
NASAW00016158,1975-01-18,Female
NASAW00016159,1980-06-17,Female
NASAW00016160,1973-12-18,Female
NASAW00016161,1974-02-21,Female
NASAW00016162,1974-03-26,Female
NASAW00016163,1973-06-13,Male
NASAW00016164,1978-01-29,Female
NASAW00016165,1978-01-30,Female
NASAW00016166,1984-02-03,Female
NASAW00016167,1978-01-02,Male
NASAW00016168,1973-03-07,Female
NASAW00016169,1978-03-13,Male
NASAW00016170,1972-03-07,Male
NASAW00016171,1971-10-04,Male
NASAW00016172,1983-04-06,Female
NASAW00016173,1981-07-02,Male
NASAW00016174,1970-09-21,Female
NASAW00016175,1976-09-01,Male
NASAW00016176,1974-02-16,Female
NASAW00016177,1979-09-07,Female
NASAW00016178,1974-05-16,Male
NASAW00016179,1974-02-19,Female
NASAW00016180,1976-08-18,Male
NASAW00016181,1970-12-21,Female
NASAW00016182,1969-10-19,Male
NASAW00016183,1975-11-01,Female
NASAW00016184,1969-12-04,Female
NASAW00016185,1975-12-10,Male
NASAW00016186,1980-01-22,Female
NASAW00016187,1986-02-14,Male
NASAW00016188,1985-10-03,Female
NASAW00016189,1984-09-29,Female
NASAW00016190,1984-07-07,Male
NASAW00016191,1983-09-15,Female
NASAW00016192,1983-12-02,Female
NASAW00016193,1983-12-18,Male
NASAW00016194,1979-03-16,Female
NASAW00016195,1978-10-10,Female
NASAW00016196,1979-04-20,Male
NASAW00016197,1983-08-16,Female
NASAW00016198,1978-04-12,Male
NASAW00016199,1978-02-15,Male
NASAW00016200,1976-10-15,Female
NASAW00016201,1977-03-05,Male
NASAW00016202,1976-10-18,Male
NASAW00016203,1975-11-01,Male
NASAW00016204,1982-04-09,Male
NASAW00016205,1982-03-28,Female
NASAW00016206,1976-11-15,Female
NASAW00016207,1982-03-09,Male
NASAW00016208,1977-01-17,Female
NASAW00016209,1975-09-15,Female
NASAW00016210,1979-09-09,Female
NASAW00016211,1980-05-22,Male
NASAW00016212,1935-07-03,Female
NASAW00016213,1971-11-13,Female
NASAW00016214,1977-01-30,Male
NASAW00016215,1971-11-09,Male
NASAW00016216,1983-03-23,Male
NASAW00016217,1972-03-24,Female
NASAW00016218,1964-09-30,Female
NASAW00016219,1964-11-18,Male
NASAW00016220,1959-01-03,Female
